Date,sentiment_polarity,sentiment_subjectivity,Open,High,Low,Close,Volume,Change,Class_Label
42723,0.073402778,0.474019841,790.22,797.66,786.27,794.2,1232087,3.98,1
42723,0.218295815,0.484078644,790.22,797.66,786.27,794.2,1232087,3.98,1
42723,0.17967803,0.442954545,790.22,797.66,786.27,794.2,1232087,3.98,1
42724,0.141386202,0.478865248,796.76,798.65,793.27,796.42,951014,-0.34,0
42724,0.103636364,0.235454545,796.76,798.65,793.27,796.42,951014,-0.34,0
42724,0.164681982,0.461655212,796.76,798.65,793.27,796.42,951014,-0.34,0
42725,0.0500566,0.432101184,795.84,796.68,787.1,794.56,1211346,-1.28,0
42725,0.187155379,0.51494717,795.84,796.68,787.1,794.56,1211346,-1.28,0
42725,0.100376435,0.307422831,795.84,796.68,787.1,794.56,1211346,-1.28,0
42725,0.0240383,0.452481061,795.84,796.68,787.1,794.56,1211346,-1.28,0
42725,0.118733502,0.438741949,795.84,796.68,787.1,794.56,1211346,-1.28,0
42725,0.119805936,0.402000435,795.84,796.68,787.1,794.56,1211346,-1.28,0
42725,0.061448307,0.434288473,795.84,796.68,787.1,794.56,1211346,-1.28,0
42726,0.156095146,0.435877775,792.36,793.32,788.58,791.26,972169,-1.1,0
42726,0.173546512,0.515762274,792.36,793.32,788.58,791.26,972169,-1.1,0
42727,0.141326165,0.46937276,790.9,792.74,787.28,789.91,623944,-0.99,0
42727,0.022426471,0.401838235,790.9,792.74,787.28,789.91,623944,-0.99,0
42731,0.157932264,0.431016043,790.68,797.86,787.66,791.55,789321,0.87,1
42731,0.089622596,0.388026992,790.68,797.86,787.66,791.55,789321,0.87,1
42731,0.015615292,0.296033231,790.68,797.86,787.66,791.55,789321,0.87,1
42732,0.008301282,0.462051282,793.7,794.23,783.2,785.05,1153824,-8.65,0
42732,0.135445363,0.381651745,793.7,794.23,783.2,785.05,1153824,-8.65,0
42733,0.119410009,0.498875115,783.33,785.93,778.92,782.79,744272,-0.54,0
42733,0.110606061,0.41489899,783.33,785.93,778.92,782.79,744272,-0.54,0
42733,0.106045769,0.48870095,783.33,785.93,778.92,782.79,744272,-0.54,0
42734,0.011111111,0.337789988,782.75,782.78,770.41,771.82,1769950,-10.93,0
42734,0.044784382,0.500029138,782.75,782.78,770.41,771.82,1769950,-10.93,0
42734,0.038944267,0.384514,782.75,782.78,770.41,771.82,1769950,-10.93,0
42738,0.187440191,0.504186603,778.81,789.63,775.8,786.14,1657268,7.33,1
42738,0.083829169,0.559412055,778.81,789.63,775.8,786.14,1657268,7.33,1
42739,0.01200627,0.314273772,788.36,791.34,783.16,786.9,1072958,-1.46,0
42739,0.160097002,0.381657848,788.36,791.34,783.16,786.9,1072958,-1.46,0
42740,0.097772689,0.506018089,786.08,794.48,785.02,794.02,1335167,7.94,1
